"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 09 18:49:52 UTC 2025","Tue Dec 09 18:49:52 UTC 2025","41","Regression Testing","Regression Testing","com.gecom.CouponsTest.ListCoupons","com.gecom.CouponsTest.ListCoupons","testNonAdminCantGetAvailableCoupons","TC-COUP-002: Verify non-admin can't get available coupons",""
"passed","Tue Dec 09 18:49:51 UTC 2025","Tue Dec 09 18:49:51 UTC 2025","46","Regression Testing","Regression Testing","com.gecom.WishlistTest.AddToWishList","com.gecom.WishlistTest.AddToWishList","testAddToWishlistFailsForNonExistentProduct","TC-WISH-002: Verify add to wishlist fails for non-existent product",""
"passed","Tue Dec 09 18:49:38 UTC 2025","Tue Dec 09 18:49:38 UTC 2025","158","Regression Testing","Regression Testing","com.gecom.AuthenticationTests.Register","com.gecom.AuthenticationTests.Register","testRegisterUserValidRequest","TC-AUTH-001: Verify user registration with valid data",""
"passed","Tue Dec 09 18:49:45 UTC 2025","Tue Dec 09 18:49:45 UTC 2025","239","Regression Testing","Regression Testing","com.gecom.CartTests.ClearCart","com.gecom.CartTests.ClearCart","testUserCanRemoveItemFromCart","TC-CART-010: Verify user can remove item from cart",""
"passed","Tue Dec 09 18:49:40 UTC 2025","Tue Dec 09 18:49:40 UTC 2025","62","Regression Testing","Regression Testing","com.gecom.UsersTest.DeleteUsers","com.gecom.UsersTest.DeleteUsers","testDeleteUserFailsWithoutAuth","TC-USER-010: Verify delete users fails without authentication",""
"passed","Tue Dec 09 18:49:46 UTC 2025","Tue Dec 09 18:49:46 UTC 2025","58","Regression Testing","Regression Testing","com.gecom.OrdersTest.GetOrders","com.gecom.OrdersTest.GetOrders","testUserCanGetOrdersByStatusCancelled","TC-ORDER-017: Verify user can get orders by status cancelled",""
"passed","Tue Dec 09 18:49:46 UTC 2025","Tue Dec 09 18:49:47 UTC 2025","378","Regression Testing","Regression Testing","com.gecom.OrdersTest.GetOrders","com.gecom.OrdersTest.GetOrders","testAdminCanExportOrders","TC-ORDER-019: Verify admin can export orders",""
"passed","Tue Dec 09 18:49:40 UTC 2025","Tue Dec 09 18:49:40 UTC 2025","68","Regression Testing","Regression Testing","com.gecom.UsersTest.UpdateUsers","com.gecom.UsersTest.UpdateUsers","testUpdateUserFailsForNonExistent","TC-USER-007: Verify update user fails for non-existent user",""
"passed","Tue Dec 09 18:49:41 UTC 2025","Tue Dec 09 18:49:41 UTC 2025","76","Regression Testing","Regression Testing","com.gecom.ProductsTest.UpdateProducts","com.gecom.ProductsTest.UpdateProducts","testAdminCanBulkUpdateProducts","TC-PROD-023: Verify admin can bulk update products",""
"passed","Tue Dec 09 18:49:52 UTC 2025","Tue Dec 09 18:49:52 UTC 2025","60","Regression Testing","Regression Testing","com.gecom.CouponsTest.ValidateCoupons","com.gecom.CouponsTest.ValidateCoupons","testValidateValidCouponCode","TC-COUP-007: Verify validate valid coupon code",""
"passed","Tue Dec 09 18:49:41 UTC 2025","Tue Dec 09 18:49:41 UTC 2025","54","Regression Testing","Regression Testing","com.gecom.ProductsTest.CreateProducts","com.gecom.ProductsTest.CreateProducts","testCreateProductFailsWithoutRequiredFields","TC-PROD-007: Verify create product fails without required fields",""
"passed","Tue Dec 09 18:49:43 UTC 2025","Tue Dec 09 18:49:43 UTC 2025","57","Regression Testing","Regression Testing","com.gecom.ProductsTest.LikeProducts","com.gecom.ProductsTest.LikeProducts","testUserCanCheckLikeStatus","TC-PROD-030: Verify user can check like status",""
"passed","Tue Dec 09 18:49:42 UTC 2025","Tue Dec 09 18:49:42 UTC 2025","68","Regression Testing","Regression Testing","com.gecom.ProductsTest.GetProducts","com.gecom.ProductsTest.GetProducts","testAdminCanViewLowStockProducts","TC-PROD-019: Verify admin can view low STOCK products",""
"passed","Tue Dec 09 18:49:44 UTC 2025","Tue Dec 09 18:49:44 UTC 2025","221","Regression Testing","Regression Testing","com.gecom.CartTests.ClearCart","com.gecom.CartTests.ClearCart","testUserCanClearEntireCart","TC-CART-007: Verify user can clear entire cart",""
"passed","Tue Dec 09 18:49:47 UTC 2025","Tue Dec 09 18:49:47 UTC 2025","442","Regression Testing","Regression Testing","com.gecom.OrdersTest.CancelOrders","com.gecom.OrdersTest.CancelOrders","testAdminCanCancelOrder","TC-ORDER-012: Verify admin can cancel order",""
"passed","Tue Dec 09 18:49:37 UTC 2025","Tue Dec 09 18:49:37 UTC 2025","113","Regression Testing","Regression Testing","com.gecom.AuthenticationTests.Login","com.gecom.AuthenticationTests.Login","testLoginUserInvalidPassword","TC-AUTH-005: Verify login fails with invalid password",""
